"2024-08-28 11:20:03,856",0.264,0.008
"2024-08-28 11:50:50,433",0.220,-0.021
"2024-08-28 12:21:38,934",0.220,0.038
"2024-08-28 12:52:25,691",0.220,0.009
"2024-08-28 13:23:13,209",0.264,0.023
"2024-08-28 13:54:07,215",0.176,0.039
"2024-08-28 14:24:56,167",0.308,0.010
"2024-08-28 14:55:44,330",0.176,0.024
"2024-08-28 15:26:31,747",0.220,0.038
"2024-08-28 15:57:19,509",0.220,0.009
"2024-08-28 16:28:06,947",0.220,0.023
"2024-08-28 16:58:54,497",0.176,0.036
"2024-08-28 17:29:43,540",0.308,0.006
"2024-08-28 18:00:31,386",0.220,-0.024
"2024-08-28 18:31:19,191",0.220,0.034
"2024-08-28 19:02:06,549",0.220,0.047
"2024-08-28 19:32:54,112",0.264,0.016
"2024-08-28 20:03:41,650",0.220,0.029
"2024-08-28 20:34:29,752",0.264,0.043
"2024-08-28 21:05:17,111",0.220,0.012
"2024-08-28 21:36:04,566",0.220,0.024
"2024-08-28 22:06:52,024",0.220,0.037
"2024-08-28 22:37:39,622",0.220,0.050
"2024-08-28 23:08:28,861",0.264,0.018
"2024-08-28 23:39:16,444",0.176,0.031
"2024-08-29 00:10:04,496",0.264,0.043
"2024-08-29 00:40:51,051",0.264,0.011
"2024-08-29 01:11:37,498",0.176,0.023
"2024-08-29 01:42:23,884",0.220,0.034
"2024-08-29 02:13:10,901",0.264,0.046
"2024-08-29 02:43:57,992",0.264,0.014
"2024-08-29 03:14:44,771",0.220,-0.019
"2024-08-29 03:45:31,696",0.220,-0.008
"2024-08-29 04:16:18,112",0.176,0.047
"2024-08-29 04:47:04,611",0.264,0.014
"2024-08-29 05:17:49,873",0.176,0.025
"2024-08-29 05:48:36,499",0.220,0.036
"2024-08-29 06:19:22,917",0.220,0.047
"2024-08-29 06:50:09,808",0.264,0.013
"2024-08-29 07:20:56,188",0.264,-0.020
"2024-08-29 07:51:42,622",0.220,-0.010
"2024-08-29 08:22:29,020",0.220,0.000
"2024-08-29 08:53:15,406",0.220,0.010
"2024-08-29 09:24:02,217",0.220,0.020
"2024-08-29 09:54:50,384",0.220,0.030
"2024-09-25 11:05:44,080",-0.044,1.471
"2024-09-26 13:05:25,028",-2.461,-0.009
"2024-09-26 13:15:07,846",0.088,-0.011
"2024-09-26 13:46:09,012",0.264,-0.003
"2024-09-26 14:16:55,208",0.220,0.047
"2024-09-26 14:47:41,330",0.264,0.008
"2024-09-26 17:30:52,444",-2.890,90.994
"2024-09-26 17:32:09,009",-156.717,91.005
"2024-09-27 15:36:58,163",0.835,0.010
"2024-09-27 16:02:07,589",-241.817,-0.039
"2024-09-27 16:10:51,476",-1.319,-0.008
"2024-09-27 16:11:20,131",-153.553,304.953
"2024-09-27 16:42:16,451",0.220,0.041
"2024-09-27 16:42:39,779",-299.733,305.200
"2024-09-27 16:47:08,396",-103.010,305.233
"2024-09-27 16:49:38,083",0.044,0.017
"2024-09-27 16:55:05,609",-194.691,305.294
"2024-09-27 17:05:30,327",0.088,0.021
"2024-09-27 17:15:04,161",0.044,0.014
"2024-09-27 17:19:18,774",0.044,0.007
"2024-09-27 17:34:27,927",0.044,0.048
"2024-09-27 18:05:44,304",0.308,0.008
"2024-09-27 18:36:59,458",0.176,0.011
"2024-09-29 17:59:47,086",0.000,2.201
"2024-09-29 18:02:27,231",0.000,2.226
"2024-09-29 18:03:30,568",0.000,2.232
"2024-09-29 18:04:46,819",-0.615,-71.990
"2024-09-30 13:43:27,267",0.571,65.304
"2024-09-30 13:45:24,598",0.571,64.705
"2024-09-30 13:46:36,960",0.615,64.099
"2024-09-30 14:26:12,141",3.516,0.025
"2024-09-30 14:57:34,743",0.220,0.035
"2024-09-30 15:29:00,866",0.264,0.029
"2024-09-30 16:00:27,384",0.264,0.025
"2024-09-30 16:31:50,963",0.264,0.020
"2024-09-30 17:03:15,845",0.264,0.015
"2024-09-30 17:34:39,912",0.264,0.010
"2024-09-30 17:47:32,186",-2.901,-0.023
"2024-09-30 17:53:45,651",-141.334,139.725
"2024-09-30 17:54:20,151",-63.542,139.748
"2024-09-30 17:55:55,971",0.000,-216.102
"2024-09-30 18:05:44,695",1.670,0.043
"2024-09-30 18:37:05,676",0.264,0.041
